q_num,max_pts,got,question,her_answer,reasoning
21,4,3.5,"Define ""unit of observation"" in your own words, and give one example of how the same dataset could support two different","unit of observation is what unit we observe in a row, such as one person, one candidate, one company we observe to analysis. For example, when analysis one candidate hired by companies, we can analysis candidates as a unit, and also can analysis one company hired how many candidates.","[full] The student correctly defines unit of observation as what one row represents ('what unit we observe in a row') and gives an example of two different units from the same hiring data: candidate-level vs company-level analysis. The wording is a bit rough and the example could be more concrete, but both required pieces are present. Slight deduction for clarity, but the core understanding is clearly there."
22,4,3,Explain in 2 to 3 sentences why a bank that retrains its loan model only on outcomes of previously-approved applicants b,"This is because the model only train approved applicants, such as 100 people applicated, and 30 approved , 70 rejected. the model only train approved 30 people, never trained 70 rejected people. So the model more confident with the approved people , and ignored people who rejected by bank.","[partial] The student clearly identifies the selection mechanism: only approved applicants generate training data, while rejected applicants are excluded, making the model more confident about approved-type applicants. However, the answer doesn't explicitly describe the compounding/progressive nature over successive retrains — it explains the mechanism in a single round but doesn't quite articulate how bias worsens over time. Per the rubric, this fits 'partial': names the feedback loop but the compounding consequence is implicit rather than explicit."
23,4,2,"In your own words, what is the single underlying lesson connecting Simpson's paradox, the regression sign-flip, and ""con","Simpson's paradox: it is aggregated and subgroup, we need to see aggregated group, but also need to see subgroup data, they  are different, the same dataset can bring different result. The regression sign-flip: for the price of car, we can see the age, the coefficient may be -1170, it is unnormal, but when we add  type of car, coefficient become 1180. controlling for"" a confounder: when we analysis gender influence by hired, we can see women have high hired rate than men, but when we add cofounder training score, we find most men get low score, because men never attend training.","[partial-low] The student correctly describes all three phenomena with concrete examples, showing they understand each individually. However, they don't articulate the unifying lesson — that all three are the same operation (the conclusion depends on what's in the model / what level you analyze at). They show the 'same data different result' idea implicitly through examples but never state the underlying connection explicitly, which fits the partial-low tier of mentioning all three without articulating the underlying operation."
24,4,3,"In an HR promotion analysis, the gender coefficient looks negative in a simple model but vanishes when training-attendan","this is because we only see the result with gender, it is ignore training. when we add confounder training , we find men get low score, they have low attendance, so the gender influence vanished. we need to add controlling for confounder.","[partial] The student correctly identifies that training attendance is a confounder absorbing the gender effect, and gives a concrete mechanism (men have lower attendance, so the gender effect vanishes once controlled). However, they don't explicitly address what this means for the diagnosis 'there is gender bias in promotions' — they don't note that the bias isn't at the promotion decision itself but may have shifted upstream to whatever drives the attendance gap. This matches the 'partial' tier: strong on the mechanism but missing the diagnostic/remedy shift."
25,4,3,"What is the key difference between bias and variance, and why are they NOT interchangeable problems? Give one fix for ea","the bias is need to add variables, such as the price of car, we analysis both age and type of car, if we only analysis the age of car, when we analysis so many car, it dose not change the result. the variance is about the data, we need more data to analysis, such as the result is different from 10000 to 100 people.","[partial] The student correctly identifies bias as needing to add the right variables (using car price/type as an example of omitted variables) and gives the correct fix (add variables). For variance, they correctly note it's about sample sensitivity ('result is different from 10000 to 100 people') and propose more data as a fix. However, the bias definition is somewhat shaky/unclear in wording, and the explanation of why they're not interchangeable is implicit rather than explicit. Both fixes are correct, so this fits the 'partial' tier."
26,4,2,Explain why fitting a training example perfectly is not enough to know whether a model has learned the underlying patter,"this is because the training only have history data, only training exist data, and never train data we did not give the model. it has bias. when we train model, we could give some data to train, and use left data to test. the compared the result of train and test.",[partial-low] The student gestures at the right idea — that training data alone is limited and that we should hold out some data to test — but doesn't articulate the key concept that multiple rules can fit the same training data (memorization vs generalization). The mechanics of the train/test split are mentioned but the purpose (revealing whether the rule generalizes to new data) is only weakly implied. This fits the partial-low tier: on track but missing the 'why.'
27,4,4,A residual is what is left over after a regression has explained as much as it can. Explain in 2 to 3 sentences why resi,"the residual is equal the present value minus the measured value, it is hard to measure. for example, the business value of a sport player, the value can be measure is the sport performance of this player, but the player's fans, player's influence in people can not be measured. this is residual value, it is not noise, it has value.","[full] The student makes the conceptual point clearly: residuals capture something hard to measure directly and are not noise but carry value. They provide the soccer/sports player example, explicitly identifying fan appeal/influence as the unmeasurable construct revealed by the residual. Despite rough phrasing, the understanding maps directly onto the 'construct an unmeasurable from observed patterns' idea, meriting full credit."
28,4,1.5,"When would you prefer high recall over high precision, and when the reverse? Give one concrete business example for each","the recall when we compared with richer, they are richer, but we are poor, it compared what we do not have.
the precision is the prediction rate, such as we predict 100 people will get job, but actually 80 people got job.
So, when false nagitive of covid 19 people, we need high recall, for false positive, we need high precision","[minimal] The student's definitions of recall and precision are garbled — the recall explanation is incoherent, and precision is described vaguely as 'prediction rate.' They do correctly connect high recall to COVID-19 (a false-negative-costly scenario), which shows some grasp of when recall matters. However, no concrete example is given for the precision side — just 'for false positive, we need high precision,' which restates the definition without a business example. This sits between minimal (defines but doesn't connect) and partial-low (one side has an example), so I'm awarding 1.5."
29,4,2,"Explain why adding more and more features to a customer dataset eventually makes ""who is similar to this customer"" an un","when we add more features, it is in high dimensional, every features have high variance and distance, so no features is similar to others. in this condition, we need to classify data to lower dimention,  choose important features, and reduce lose information.","[partial-low] The student gestures at the right mechanism — high dimensions make observations dissimilar from each other — and correctly suggests dimensionality reduction as a remedy. However, the explanation is shaky (saying features have 'high variance and distance' rather than that distances between points flatten/become uniform), and the student never names the curse of dimensionality. This fits partial-low: rough mechanism, no name."
30,4,0.5,"Spotify works well as a recommender system, but a bank's loan-approval system would be a poor fit for the same approach.","Spotify , it forms preference. When we listen to some music, and later it will recommend the similar type of music. For loan, it is coding preference, it is exist preference, for people have low income, loan will not approval. ","[none] The student gestures at the idea that Spotify learns preferences from listening behavior while loans rely on existing/observable criteria like income, which is a faint echo of the 'latent taste' condition. However, they don't clearly name two conditions, don't contrast them with Spotify-vs-loan reasoning in a coherent way, and the answer is too garbled to credit a second condition. This sits between 'none' and 'minimal' — awarding minimal partial credit for the hint at latent taste."
31,5,0,"A product manager reports: ""Our recommendation engine has 73% accuracy across the platform. We should ship it."" A recrui","this is because it is a threshold problem, it depend on cutoff we set. 
we need to know the business cost of false negative and false positive. 
And then we can make good decision.","[none] The student frames this as a threshold/cutoff problem with false positive/negative tradeoffs, which misses the core insight entirely. The question is about unit-of-analysis mismatch (platform aggregate vs. engineering subgroup), not classification thresholds. The student does not request subgroup performance breakdown or recognize that both metrics can be simultaneously true at different units."
32,5,4.5,"A hospital reports that patients treated by Doctor A have a 90% survival rate, while patients treated by Doctor B have a","it is Simpson's paradox. I should ask if the people have severe disease to see doctor B, it is difficult to survive patients. And people who not have serious disease to be treated by doctor A. We can not ignored the disease of patient ","[strong] The student correctly names Simpson's paradox and identifies the mechanism (Doctor B may be treating more severe cases while Doctor A treats easier ones), and implicitly suggests breaking down by disease severity. However, they don't explicitly state the consequence — that reassigning critical cases away from B could remove the best critical-case doctor. This puts them between strong (4) and full (5), so I'm awarding 4.5."
33,5,1,A bank's fraud-detection model is set at threshold 0.5. Every false positive costs the bank about $20 in customer-servic,"The bank's threshold should be higher than 0.5, this is because the FN cost is $800, it is higher than FP$20, we need to reduce FN, and increase FP. If there is more FN, the cost of bank will be higher, the bank will loss more money","[none] The student correctly identifies the cost asymmetry (FN $800 > FP $20) and recognizes the need to reduce FN and accept more FP. However, they reverse the direction by saying 'higher than 0.5' — a higher threshold would actually produce fewer flags and MORE false negatives, the opposite of their stated goal. Per the rubric, reversed direction zeros out unless reasoning salvages partial credit; I award 1 point because they did identify the cost asymmetry correctly even though they misapplied it to threshold direction."
