answer_id,q_num,max_pts,old_pts,old_reasoning
f38d8409-13bc-4861-8a41-8bf79a3c222b,21,4,3.5,"[full] The definition is clear and correct ('what each row in a dataset represents'). The example contrasts platform-level vs recruiter-level analysis from the same JobMatch data, which gestures at two different units of observation. The example is a bit more about audience/aggregation than crisply naming two row-level units (e.g., event vs candidate vs job), so I'm awarding near-full credit rather than a clean 4."
c50927f3-292e-4dea-b99a-788603761c09,22,4,4,[full] The student clearly identifies the feedback loop (rejected applicants have no outcomes and drop from training) and explains the compounding consequence (each retrain narrows the data toward profiles the model already favored). They also explicitly note that no one programmed the bias. This meets both halves of the full-credit rubric.
5ca7b3b2-ff11-4a7b-951c-7c9859ddb605,23,4,4,"[full] The student clearly identifies the core insight that the conclusion depends on the level of analysis / what's in the model, and explicitly unifies aggregation, disaggregation, and conditioning as the same operation. They support this with concrete examples (Berkeley, HR gender coefficient) and end with the meta-point about matching the level to the question. This meets the full-credit criteria."
69ba2f0e-67cd-409c-8f60-baa358538818,24,4,4,"[full] The student correctly identifies that gender's effect is absorbed by training attendance and that promotions aren't directly driven by gender once attendance is held fixed. They also make the diagnostic shift explicit — the problem moves upstream to why attendance differs, not the promotion decision itself — and explicitly avoid the 'no bias' trap. This satisfies both halves of the full-credit rubric."
e36a48c1-2811-4559-92fb-8283f488643a,25,4,4,"[full] The student correctly defines bias as a specification problem (something important missing) and variance as sample sensitivity. They provide correct fixes for each: add the right variables for bias, and simpler models / more data for variance. They also explicitly note that more data won't fix bias, which directly addresses the common misconception. Full credit."
0b501441-30f5-45f3-8fe0-3f12dd9af496,26,4,4,"[full] The student clearly articulates memorization vs. learning the underlying pattern, using a concrete example to illustrate that a rule can fit training data without capturing the real pattern. They explicitly tie this to the train/test split's purpose: exposing failure on unseen data reveals memorization. Both rubric components for full credit are met."
5a22a80e-3237-4cdd-aa94-a5c0f0e97ce7,27,4,4,"[full] The student clearly articulates the conceptual point that residuals can carry signal — 'a variable nobody has measured yet' and 'strategic insights waiting to be interpreted.' They also give the soccer auction example, identifying the residual as the part of price unexplained by on-field performance (i.e., celebrity appeal, though not named explicitly). This matches the full-credit criteria: residuals as the variable of interest plus a concrete constructed-unmeasurable example."
3e6271da-cf5a-43d7-8d33-01e5e750649f,28,4,4,[full] The student correctly frames both sides: high recall when false negatives are costly (COVID test example is concrete and plausible) and high precision when false positives are costly (churn campaign with expensive discounts is a great trust/cost example). They also correctly define what each metric measures. This meets the full credit criteria.
85a51b3b-2dfd-476d-8ba6-4364133c18c1,29,4,4,"[full] The student clearly describes the mechanism: as features grow, data becomes sparse, every customer becomes unique, and no one appears similar to anyone else. They name it 'dimensionality' (close enough to 'curse of dimensionality' — the concept is clearly understood) and even mention the standard remedies (PCA, embeddings, matrix factorization). Full credit per the rubric."
7242d189-ffe2-43b6-a720-622782408c21,30,4,2.5,"[partial-low] The student clearly identifies the 'dense interactions' condition with a strong Spotify-vs-loan contrast (many plays/skips vs. one outcome per person, plus the selection bias hint that only approved applicants generate outcomes). However, they don't clearly name a second distinct condition — the answer essentially elaborates on the same 'lots of data/interactions' idea rather than introducing a separate condition like latent taste, vast catalog, or cheap mistakes. This fits between minimal (one condition justified) and partial-low (two conditions with overlap), so I'm awarding 2.5."
8cecc63e-0296-4db9-a741-a4bfe6699656,31,5,5,"[full] The student clearly names the aggregate-vs-subgroup mismatch ('aggregate accuracy hides the subgroup performance') and explains why both can be true simultaneously, even invoking the Berkeley analogy. They request the specific diagnostic (accuracy broken out by job category) and implicitly connect it to the shipping decision by framing it as what's needed to evaluate engineering performance. This meets all three full-credit criteria."
30eaa147-e5cf-49b7-bd8f-b6d9437cef8c,32,5,2,"[partial-low] The student asks the right diagnostic question — what types of cases each doctor handles — which gets at case mix. However, they don't articulate Simpson's paradox, the underlying mechanism (aggregate can reverse when conditioned on severity), or the specific risk of reassigning critical cases away from potentially the best critical-care doctor. This fits the partial-low tier: on the right track but without explaining the concept or consequence."
4d3d6e10-54ab-4e71-bfc3-bcf42911bb32,33,5,5,"[full] Student correctly answers 'lower than 0.5', identifies the cost asymmetry ($800 vs $20), and connects it to the action of accepting more false positives to prevent costly false negatives. The reasoning clearly ties threshold to cost trade-off, meeting all criteria for full credit."
c2243716-70a3-40a0-9df3-ef1bd17652fb,34,5,4,"[strong] The student clearly identifies the closed-loop/popularity mechanism ('rich get richer', more interactions → higher rank) and proposes a sensible mitigation (exploration slots surfacing items outside user history). However, they don't explain why the standard metrics still look good — the metric blindspot on the long tail is missing. This matches the 'strong' tier: mechanism + mitigation, but no metric explanation."
