answer_id,attempt_id,question_id,q_num,max_points,old_points,old_reasoning
82ee2f80-ab77-49b8-9c6a-fb9e8b9e0bb2,03f387d0-701f-4fe7-9681-f0f8721f059f,45c3ceae-f884-4741-912b-a2caf5ce30e1,21,4,1,"[minimal] The definition is vague ('measurement of a dataset, depending on what to observe') and doesn't clearly convey that the unit is what one row represents. The example only names one unit (individual students) rather than showing how the same dataset could support two different units of observation, which was the core requirement. This fits the 'minimal' tier."
9cf98510-1f48-4d39-9f54-956aebcb1101,03f387d0-701f-4fe7-9681-f0f8721f059f,5fcb1ea2-216d-4b43-8c45-6b8afa0b851f,22,4,1.5,"[minimal] The student gestures at the idea that approved customers accumulate over time and bias grows, but they don't clearly identify the selection mechanism (rejected applicants have no observable outcome) or explain the compounding/narrowing consequence. The answer is vague and somewhat garbled, suggesting only a partial intuition that the data skews toward approved applicants. This sits between minimal (says data is biased without mechanism) and partial-low, so I'm awarding 1.5."
58d8ef0f-fba1-4461-b4dd-136bf6d79215,03f387d0-701f-4fe7-9681-f0f8721f059f,0cbd4c8c-8016-424c-8c37-945da6aacec8,23,4,4,"[full] The student clearly captures the core insight that conclusions depend on what's in the model and how the data is grouped. They also unify all three phenomena by noting that aggregating, disaggregating, or adding a condition can reverse the result — which is exactly the 'three forms of one operation' idea. This meets the full-credit criteria in plain language."
5fe877c2-2611-41c8-9d10-713137ed8159,03f387d0-701f-4fe7-9681-f0f8721f059f,8e8f837b-b9d4-41ff-9c87-d39a139d8541,24,4,3,"[partial] The student correctly identifies that training attendance absorbs/mediates the gender effect and that promotion differences are explained by training participation rather than gender itself. However, they don't take the next step to discuss what this means for the diagnosis — that the bias may have shifted upstream to whatever drives attendance differences, rather than being absent. This matches the 'partial' tier: strong on the mechanism but missing the diagnostic/remedy shift."
a467e770-6bdd-492a-a76e-a04f9c5eb36f,03f387d0-701f-4fe7-9681-f0f8721f059f,59aea710-0446-4698-9f69-e90e69d11a15,25,4,3,"[partial] The student correctly defines bias as systematic error from wrong specification/missing variables and variance as overfitting/sample sensitivity. They explain why the two aren't interchangeable. However, they only provide a fix for bias (adding the right control variables) and do not give a fix for variance (e.g., regularization, simpler model, more data). Per the rubric, definitions correct but only one fix given = 3 points."
5741ddff-f0c5-4b4a-9b29-972d7b26bc88,03f387d0-701f-4fe7-9681-f0f8721f059f,bf20a1f1-55e5-4d0b-837a-b95220c19b35,26,4,4,[full] The student clearly identifies memorization vs. generalization (overfitting) as the issue and explicitly connects it to the train/test split's purpose: checking whether the model learned the true pattern or just memorized. Both rubric components are satisfied.
5ba6db6b-c4f0-440d-a61d-6ca0a97975ae,03f387d0-701f-4fe7-9681-f0f8721f059f,6071629d-df03-49a2-b4cc-ad2591f60310,27,4,4,"[full] The student clearly states the conceptual point: residuals capture what the model couldn't explain and may represent a hidden variable of interest. They also provide the concrete soccer/cricket auction example, identifying the residual as celebrity appeal or brand value — exactly the 'construct an unmeasurable from observed patterns' move the rubric rewards. Full credit is warranted."
96bedad4-17e8-4550-b86b-d88627cf092c,03f387d0-701f-4fe7-9681-f0f8721f059f,e1ee87df-b151-4757-8f10-071290f018df,28,4,4,[full] The student correctly frames high recall as wanting to avoid missing true positives (COVID screening is a solid example) and high precision as wanting to avoid costly false positives (expensive retention offers being wasted on customers who wouldn't churn anyway). Both sides have clear framing and concrete business examples. Minor wording slip ('missing a FP') but the example makes the intent unambiguous.
6d51f1c9-c1c5-4523-b323-669b7f4f9fd6,03f387d0-701f-4fe7-9681-f0f8721f059f,44763eed-6502-4cd3-82dd-f8a5c538e67a,29,4,4,"[full] The student correctly identifies the mechanism: as features grow, every customer becomes unique and points become far from one another (distance flattening intuition). They also correctly name the curse of dimensionality. Both rubric requirements for full credit are satisfied."
4c46d893-0185-41c8-a31e-d71cb6b0d46f,03f387d0-701f-4fe7-9681-f0f8721f059f,667c7bd9-4b15-48b6-89fe-7ada3d7c570f,30,4,1,"[minimal] The student lists all four conditions by name but provides no explanation or contrast with loan approval for any of them. Per the rubric, naming conditions without explaining why the contrast holds earns minimal credit (1 point)."
a25439de-13b1-48cf-b7df-24adc0a6d99a,03f387d0-701f-4fe7-9681-f0f8721f059f,b0dd4e38-0fa5-4799-bf07-df61264a48f5,31,5,4,"[strong] The student clearly identifies the unit-of-analysis mismatch ('aggregate platform accuracy can hide poor subgroup performance') and requests the right diagnostic (subgroup metrics by job category). However, they don't explicitly connect this to the shipping decision — i.e., that the action happens at the subgroup level so the metric should too. The Simpson's paradox reference is tangentially relevant but not wrong. Solid 'strong' tier."
