answer_id,attempt_id,new_points,new_reasoning
82ee2f80-ab77-49b8-9c6a-fb9e8b9e0bb2,03f387d0-701f-4fe7-9681-f0f8721f059f,1,"[minimal] The definition is vague ('measurement of a dataset, depending on what to observe') and doesn't clearly express that a unit of observation is what one row represents. The example only names one unit (individual students) rather than showing how the same dataset could support two different units of observation, which was the core requirement. This fits the 'minimal' tier."
9cf98510-1f48-4d39-9f54-956aebcb1101,03f387d0-701f-4fe7-9681-f0f8721f059f,2,"[partial-low] The student gestures at the feedback mechanism — that the bank keeps lending to previously-approved customers and the data accumulates toward them — but doesn't clearly explain that rejected applicants generate no outcomes and drop from training, nor does it articulate the compounding consequence (the model becomes blinder to the rejected group over time). The answer is vague about the mechanism and lacks elaboration, fitting the partial-low tier."
58d8ef0f-fba1-4461-b4dd-136bf6d79215,03f387d0-701f-4fe7-9681-f0f8721f059f,4,"[full] The student clearly captures the core insight that conclusions depend on what variables are included and how the data is grouped. They also explicitly unify all three phenomena by noting that aggregating, disaggregating, or adding a condition can reverse the result — recognizing them as facets of one operation. This meets the full-credit criteria in plain language."
5fe877c2-2611-41c8-9d10-713137ed8159,03f387d0-701f-4fe7-9681-f0f8721f059f,3,"[partial] The student correctly identifies that the gender effect is absorbed/explained by training attendance (confounding) and that promotion differences are explained by training participation rather than gender itself. However, they don't take the next step to note that this shifts the diagnosis — the bias may still exist upstream in what drives attendance differences, and the remedy is no longer at the promotion decision. This matches the 'partial' tier: strong on the mechanism but missing the diagnostic/remedy shift."
a467e770-6bdd-492a-a76e-a04f9c5eb36f,03f387d0-701f-4fe7-9681-f0f8721f059f,3,"[partial] The student correctly defines bias (systematic error from wrong specification/missing variables) and variance (overfitting/sensitivity across samples), and explains why they aren't interchangeable. They provide a fix for bias (adding the right control variables) but do not provide a fix for variance (e.g., regularization, more data, simpler model). Per the rubric, definitions correct but only one fix given = partial (3 pts)."
5741ddff-f0c5-4b4a-9b29-972d7b26bc88,03f387d0-701f-4fe7-9681-f0f8721f059f,4,"[full] The student identifies memorization vs. generalization (overfitting) as the reason perfect training fit isn't enough, and explicitly connects the train/test split to checking whether the model learned the true underlying pattern or just memorized. Both rubric components for full credit are present."
5ba6db6b-c4f0-440d-a61d-6ca0a97975ae,03f387d0-701f-4fe7-9681-f0f8721f059f,4,"[full] The student clearly states the conceptual point that residuals capture what the model couldn't explain and may represent a hidden variable of interest. They provide the auction example with celebrity appeal/brand value, which is the canonical example demonstrating 'constructing an unmeasurable from observed patterns.' Both rubric components are satisfied."
96bedad4-17e8-4550-b86b-d88627cf092c,03f387d0-701f-4fe7-9681-f0f8721f059f,4,"[full] The student correctly frames high recall as needed when missing a true positive is costly (COVID detection is a solid example, parallel to cancer screening) and high precision as needed when false positives are costly. The churn example is reasonable — sending expensive retention offers to people who won't actually churn wastes money, which is a valid cost-of-false-positive case. Minor wording slip ('missing a FP') but the example makes the intent clear. Both sides have framing and a concrete example."
6d51f1c9-c1c5-4523-b323-669b7f4f9fd6,03f387d0-701f-4fe7-9681-f0f8721f059f,4,"[full] The student identifies the mechanism (more features make every customer unique, points become far from each other) and correctly names the curse of dimensionality. While the phrasing 'far from every other point' is slightly less precise than 'distances flatten,' it captures the core intuition that similarity loses meaning. Both required elements of the full-credit rubric are present."
4c46d893-0185-41c8-a31e-d71cb6b0d46f,03f387d0-701f-4fe7-9681-f0f8721f059f,1,"[minimal] The student lists all four conditions by name but provides no explanation or contrast with loan approval. Per the rubric, naming conditions without explaining why the contrast holds earns minimal credit (1 pt). The answer demonstrates recall of vocabulary but not understanding of why these conditions distinguish Spotify from loans."
a25439de-13b1-48cf-b7df-24adc0a6d99a,03f387d0-701f-4fe7-9681-f0f8721f059f,4,"[strong] The student correctly identifies the unit-of-analysis mismatch ('aggregate platform accuracy can hide poor subgroup performance') and requests the right diagnostic (subgroup metrics by job category). However, they don't explicitly connect this to the shipping decision — i.e., that the action is taken at the recruiter/subgroup level so the metric should match. The Simpson's paradox reference is a minor misapplication but doesn't undermine the core insight."
dfcd7458-ba94-4142-a6bb-9f4091c5e596,03f387d0-701f-4fe7-9681-f0f8721f059f,4,"[strong] The student asks the right diagnostic question (whether Doctor B treats more severe patients) and correctly names Simpson's paradox/confounding as the mechanism. However, they don't explicitly state the consequence — that reassigning critical cases away from B could remove the best critical-case doctor. This matches the 'strong' tier at 4 points."
8d0dd84f-481b-41f2-bd8f-6e8fa5dfb0f5,03f387d0-701f-4fe7-9681-f0f8721f059f,4,"[strong] The student correctly answers 'lower than 0.5' and identifies the cost asymmetry (though they wrote 'FP' twice — clearly a typo for 'FN are far more expensive than FP'). They connect lowering the threshold to capturing more frauds, though they say 'lowering recall' when they mean raising recall (lowering threshold raises recall). The core reasoning is sound but the imprecise wording keeps it from full credit."
1e96273c-e5e4-4e07-b4bc-bbddec3b319b,03f387d0-701f-4fe7-9681-f0f8721f059f,4,"[strong] The student correctly identifies the popularity loop mechanism and proposes two reasonable mitigations (exploration slots, coverage monitoring). However, they don't explain why standard metrics still look good — the blindspot insight that the model is evaluated only on items it surfaces. Per the rubric, naming the mechanism and a mitigation without the metrics explanation earns the 'strong' tier at 4 points."
deff11d7-be73-460f-a26f-99898b2fbbc2,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,2.5,"[partial] The definition is correct and clearly stated ('what a singular row of data represents'). However, the example is abstract and vague — the student gestures at the idea of nested values supporting different units but doesn't give a concrete example (like event vs candidate, or transaction vs customer). This fits between partial-low and partial: definition is solid, example is on the right track conceptually but lacks a concrete instance."
8dd02f00-0069-4314-94b9-fe6effe18eb8,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,3,"[partial] The student correctly identifies the selection mechanism: the model only sees outcomes from approved applicants and therefore lacks data on rejected ones, leading to bias without explicit programming. However, the answer doesn't clearly explain the compounding/progressive nature over successive retrains — that the training data narrows further each cycle as the model's existing preferences shape who gets approved next. Strong on mechanism, weak on the feedback-loop consequence over time."
5e55f6ac-546e-45b6-9bef-c2a3b87677a5,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,2,"[partial-low] The student captures part of the insight — that surface-level analysis can mislead and digging into subgroups can reverse the trend — which gestures at the 'depends on what's in the model' idea. However, they only discuss Simpson's paradox and don't connect the regression sign-flip or 'controlling for' a confounder as facets of the same operation. The 'look deeper' framing also misses the more precise lesson that conclusions are conditional on the specification, not that one level is more 'true' than another."
79c556d0-3f34-4127-8bb3-3b97acf37c34,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,3.5,"[full] The student correctly identifies that the gender effect is absorbed/mediated by training-attendance and that attendance is the true driver of promotion differences. They implicitly shift the diagnosis upstream by noting one gender has different attendance rates, though they don't explicitly spell out the remedy implication (that the fix should target attendance access rather than the promotion decision). This is between strong-partial and full — I'll award 3.5 to credit the clear mediation logic while acknowledging the remedy/diagnostic-shift piece is implied rather than stated."
ee46da85-17cd-4da8-9d0f-3c7d3c93c40a,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,3.5,"[full] The student correctly identifies bias as coming from model setup (specification) and gives a valid fix (adding a feature/re-specifying). They give a correct fix for variance (more data). However, the variance definition is a bit shaky — 'comes from the data' is the coarse framing the rubric flags as too imprecise; they don't quite capture sample-sensitivity or overfitting. Awarding 3.5 to credit both correct fixes and the bias definition while noting the weak variance definition."
328da4b2-1747-459f-91ea-efb6130683bd,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,4,[full] The student explains that fitting training data isn't enough because the model could be capturing noise/overfitting rather than the true pattern (the memorization-vs-generalization idea in plain language). They clearly connect this to the train/test split by explaining that the held-out test set reveals whether the model learned the underlying pattern or just memorized noise. Both rubric components are satisfied.
6716506e-f5f1-4a2c-8847-c5e702aaad39,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,4,"[full] The student correctly identifies that residuals capture what cannot be directly measured/seen, which is the key conceptual point. They provide a concrete and apt example (baseball player pricing where the residual captures celebrity/popularity appeal that isn't in the dataset), directly analogous to the soccer/cricket auction example. They even acknowledge the residual contains both signal (popularity) and some noise, showing nuanced understanding."
4cb487c5-6abb-43b1-baf0-bf693afa090a,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,0,"[none] The student reverses the trade-off entirely. High recall minimizes false negatives (not false positives), and the spam example is typically a precision case (don't want real emails flagged). COVID tests are a recall case (don't want to miss infections), not precision. Both the framing and the example-to-concept mapping are inverted, matching the 'none' tier."
935af2af-d7fb-4078-b8b2-fc5373c3923e,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,3.5,"[full] The student correctly identifies the mechanism (every customer becomes unique as features grow, making similarity hard to determine) and mentions PCA as a remedy. They call it 'high dimensionality' rather than the precise 'curse of dimensionality,' which is very close but slightly imprecise. The distance-flattening intuition is implied through 'every customer will eventually become unique' but not fully fleshed out. Awarding 3.5 for strong mechanism with a slightly imprecise name."
28e950cf-8b26-45ba-bad5-579db343aacf,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,4,"[full] The student names two conditions (vast catalog and cheap mistakes) and contrasts each with loans. The catalog point notes Spotify's huge song library vs. binary loan decisions, and the cost point contrasts low-stakes skips with high-stakes loan approvals. Both contrasts are valid and clearly stated, meeting the full-credit criteria."
efd3557a-b2a6-4002-8829-15909ebed986,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,4.5,"[strong] The student clearly names the aggregate-vs-subgroup mismatch with a concrete numerical example showing how both claims can be simultaneously true, and requests the right diagnostic (accuracy breakdown by job category). The connection to the shipping decision is implicit rather than explicit — they don't quite articulate that the action is taken at the recruiter/subgroup level so the metric should match. This sits between strong (4) and full (5), so I'm awarding 4.5."
72799331-7b1a-4cc3-a625-73c67f41a807,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,4,"[strong] The student correctly identifies the diagnostic question (check the types/severity of patients each doctor treats) and explains the case-mix mechanism with a concrete example (flu vs. deadly diseases). However, they don't explicitly name Simpson's paradox or articulate the consequence — that reassigning critical cases away from B could remove the best critical-case doctor. This matches the 'strong' tier."
8decf041-bba0-4789-9315-149979cf2a99,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,5,"[full] Student correctly answers 'lower than 0.5', explains the cost asymmetry (FN much more expensive than FP), and ties the threshold choice to the action (lower threshold catches more fraud, higher threshold would let more costly FNs through). All three rubric elements for full credit are present."
0d44e7eb-d0f1-4907-93b2-99aa352e41c6,0cf0ff2a-03eb-4433-a512-ba0ad3b94ca9,0.5,"[none] The student attributes the pattern to stale training data rather than to a feedback/closed-loop mechanism. There's no mention of the self-reinforcing loop where the model only sees interactions with items it already surfaces, nor why standard metrics still look good. The proposed mitigation (retraining) doesn't address the popularity loop — retraining on the same biased interaction data would reproduce the same pattern. Minimal credit for recognizing a data issue and proposing some action."
95172b1a-3a2f-47d3-9731-e556512fc4e1,13aab4ed-393b-4f75-9439-e1782a6daa1f,4,"[full] The student defines unit of observation as the level of analysis and gives examples of what one row could represent (person, job, animal). They provide a clear concrete example with the restaurant satisfaction dataset showing three different units: per order, per location, and per customer. This satisfies both the definition and the multi-unit example requirements for full credit."
cf9b159a-10da-4686-9c4d-e7ed97ca49ca,13aab4ed-393b-4f75-9439-e1782a6daa1f,3,"[partial] The student correctly identifies the feedback loop mechanism: the model trains only on approved applicants (not all applicants) and the data narrows over time, leading to increasing bias. However, the explanation of the compounding consequence is somewhat vague — they say it becomes 'more bias towards some way' without clearly articulating that the model becomes blind to rejected applicants and reinforces its own prior preferences. Solid grasp of the mechanism with a slightly underdeveloped consequence earns 3 points."
430ccd33-8193-402a-a39e-cdf8edfc56e5,13aab4ed-393b-4f75-9439-e1782a6daa1f,2.5,"[partial] The student captures the key insight that 'different levels provide different insights' and illustrates with the Berkeley admissions example, showing understanding that aggregation level changes conclusions. However, they don't unify all three phenomena (sign-flip and 'controlling for' aren't mentioned), and they overstate the lesson as 'always consider subsets' rather than recognizing that the answer is conditional on specification. This sits between partial-low (2) and partial (3)."
5f8dfaa7-7aae-4867-9754-e3761f56232d,13aab4ed-393b-4f75-9439-e1782a6daa1f,0.5,"[none] The student concludes definitively 'there is no bias in promotions,' which the rubric explicitly flags as a zero-point error — the gap is real, it just lives upstream. They do correctly note that the coefficient vanishes when training is included and gesture at an attendance difference, but they miss that this shifts the location of bias rather than eliminating it. I'm giving a small amount of credit for noticing the attendance mechanism, but the wrong diagnostic conclusion dominates."
bbc67a61-42e8-4938-a4d1-9b89905bd094,13aab4ed-393b-4f75-9439-e1782a6daa1f,2.5,"[partial-low] The student correctly identifies bias as related to model specification/underfitting and variance as sample sensitivity/overfitting, and gives a correct fix for bias (adding variables like car age/type). However, the variance fix is wrong — 'train more complex models' would increase variance, not reduce it; the correct fix would be a simpler model, regularization, or more data. Definitions are reasonable but the variance fix is reversed, so partial credit between minimal and partial is appropriate."
946fdd5a-fbab-4065-9a5c-6f96e886613c,13aab4ed-393b-4f75-9439-e1782a6daa1f,1,"[minimal] The student gestures at the idea that the model was only trained on certain data and mentions that train/test split percentages can lead to different insights, but they don't articulate the core idea that multiple rules can fit the same training data (memorization vs generalization). They also don't explain what the test set actually tests for — only that the split percentage matters. This barely rises above 'we need a test set' without explaining why."
86d97d04-b691-482b-a215-8d66e7357420,13aab4ed-393b-4f75-9439-e1782a6daa1f,4,"[full] The student makes the conceptual point that residuals carry 'unseen information' beyond what the coefficients capture, and provides the soccer-player celebrity-appeal example showing how residuals construct an unmeasurable variable from observed patterns. Despite some awkward phrasing ('size of ignorance'), the understanding is clear and the example is concrete and correct."
836f5ed3-7663-4640-8f58-e400e3bf3805,13aab4ed-393b-4f75-9439-e1782a6daa1f,0,Blank answer — no credit.
