id,reasoning
3bee864d-1d27-44e6-b297-159c749b30b2,"[strong] The student correctly identifies the case-mix mechanism in plain language — asking whether the doctors get the same level of cases and explaining that B may have harder cases driving the lower rate. This captures Simpson's paradox conceptually. However, they don't explicitly articulate the consequence (that reassigning critical cases from B could remove the best critical-case doctor), which keeps this at the 'strong' tier rather than full credit."
11cc24fc-2d0c-46cd-b774-fce6e33504a0,Blank answer — no credit.
32ac9ca0-d636-4cba-9d1c-33437d09176f,"[full] The student clearly identifies the feedback loop (rejected applicants never appear in training data) and explains the compounding consequence (data narrows, reinforces existing preferences, bias grows without intentional design). Both the mechanism and the consequence are present in plain language, satisfying the full-credit criteria."
36a7eaa8-481c-4161-99a7-9b119e7f8f1b,"[none] The student's answer is incomplete — it trails off after 'the most important one is' without providing any definition, distinction, or fix. There is no demonstrated understanding of either bias or variance, and no remedies offered. Per the rubric, this earns 0 points."
4ef87d49-8ba7-4b08-9485-5d684f0ef136,"[none] The student's answer doesn't engage with the question at all — it just restates what 'gender bias' means in a tautological way. There's no recognition that the coefficient vanishing when attendance is added shifts the diagnosis, no mention of mediation/absorption, and no discussion of where the bias might actually live. This fits the 'none' tier."
5932c3da-7ca5-49b5-a9c6-bea10d68068b,"[none] The student merely restates the question without providing any explanation. There is no mention of why training fit is insufficient (multiple rules fitting the data, memorization vs generalization), and no connection to the train/test split's purpose. This does not meet even the minimal tier, which requires at least saying we need a test set."
c2a856b2-d4d4-4340-99e0-a79a86807a76,"[full] The student clearly identifies the closed-loop feedback mechanism (popular songs recommended → users listen → model retrains on same behavior). They explain why metrics still look good ('performs well on historical accuracy metrics' while new/niche songs get no exposure), and propose a reasonable mitigation (exploration/diversity injection to surface less-seen songs). All three rubric components are present."
e789b1df-960f-466f-a411-f192d87a1ef4,"[full] The student clearly defines unit of observation as what each row represents, and provides a concrete example of two different units (transaction vs customer) derivable from the same sales dataset. Both rubric components are satisfied."
ea97e613-66f2-4d2b-9bcb-f97f0f9452b8,"[full] The student correctly names the curse of dimensionality and describes the mechanism: data becomes sparse in high-dimensional space, making similarity hard to define. While the explanation is concise and doesn't explicitly say 'distances flatten,' sparsity in high dimensions is an equivalent and accepted framing of why nearest-neighbor similarity loses meaning. Both the name and mechanism are present."
eb2533ab-a04b-42e7-835f-724a4689ec76,"[full] The student correctly identifies 'lower than 0.5', explicitly notes the cost asymmetry ($800 vs $20), and ties the threshold action to the consequence (more flags, fewer missed frauds, at the cost of more false positives). This satisfies all three criteria for full credit per the rubric."
35d84cb1-e0e0-4cd5-9f01-299b0f1c85e6,"[partial] The definition is solid — the student clearly states that unit of observation is what one row represents and even lists possibilities (person, job, session). However, the example is weak: while it gestures at JobMatch and notes that different units yield different answers, it doesn't concretely show two different units derivable from the same dataset (e.g., event-level vs candidate-level). The COO/HR framing hints at the idea but doesn't clearly name two units."
512af60c-492d-428f-bb3e-a93c69f7961a,"[partial] The student captures the core insight that the conclusion depends on how you slice/analyze the data — the same data can yield different (even reversed) conclusions depending on the specification. However, they don't explicitly unify the three phenomena (Simpson's, sign-flip, controlling for) as facets of the same operation, nor articulate that conditioning/aggregating/disaggregating are versions of the same move. This fits the 'partial' tier: the 'depends on the model' insight is present but the unification is missing."
5c833543-9796-4ced-beee-781d1dc5b3e7,"[partial] The student grasps the core conceptual point that residuals contain valuable information and can reveal variables others aren't seeing — this is the right idea expressed in plain language. However, no concrete example is provided (no soccer auction, teacher value-added, or analogous case), which the rubric requires for full credit. The answer stays at the abstract level, so it lands between partial-low and partial."
769fc678-77d8-419d-b8de-45e122a406d7,"[full] The student correctly frames both sides of the trade-off: high recall when false negatives are costly (fraud detection) and high precision when false positives are costly (hiring weak candidates wastes resources). Both examples are concrete and plausible, and the reasoning for each is sound. This meets the full-credit criteria."
8362fc91-c15b-4c46-8171-9a16be2314e7,"[full] Student correctly answers 'lower than 0.5', cites the cost asymmetry ($800 vs $20), and connects the lower threshold to higher recall and lower expected cost. There's a minor wording slip ('more false negative' where they meant false positives), but the logic is clear and correct. No breakeven computation, so not quite the bonus-level full answer, but solidly meets the full-credit criteria."
9fd23fa4-d8f0-4e7f-b86d-5e80688502e3,"[partial] The student correctly identifies that conditioning on training attendance reveals the true picture and notes that the diagnosis and remedy shift — that's the key analytical move. However, they don't explicitly state that the gender effect is mediated/absorbed by attendance, nor do they articulate where the bias has actually moved (upstream to attendance access). The mention of attendance differences by gender hints at the upstream issue but doesn't quite connect it to the diagnostic shift, so this lands between partial-low and partial."
a1dcc8fa-7921-473e-b4c1-bd3eda3e03c6,"[strong] The student clearly identifies the closed-loop/popularity feedback mechanism and proposes a sensible mitigation (exploration/diversification). However, they don't address why the standard metrics still look good despite the bad behavior, which is required for full credit. This matches the 'strong' tier at 4 points."
b77510bb-d171-4a87-9055-d55407fcdb6d,"[full] The student names two distinct conditions (dense interactions and cheap mistakes) and provides a clear Spotify-vs-loan contrast for each: lots of listening data vs sparse loan feedback, and a skipped song vs serious financial consequences. Both contrasts are accurate and non-overlapping, meeting the full-credit criteria."
bacb9fa8-d988-44e2-91f9-016df027ac6b,"[partial] The student correctly identifies that overall performance can differ from subgroup performance (engineering), which is the core insight. However, they did not request a specific piece of additional information (like a subgroup performance breakdown) before deciding to ship, nor did they connect this to the decision-making framing. This places the answer between partial-low and partial — recognizing the subgroup difference but missing the diagnostic ask and unit-of-analysis articulation."
d14e29bc-efe7-4d0e-835a-a0c405b429cf,"[full] The student clearly identifies memorization vs. learning the underlying pattern (overfitting) and ties it directly to the purpose of the train/test split: evaluating generalization on unseen data. While they don't explicitly say 'multiple rules fit the same data,' the memorization-vs-pattern framing captures the same idea, and the test-set explanation is on point. Full credit."
e3d57636-ed0f-4851-a485-ed456777b72e,"[partial] The student correctly identifies the selection mechanism: the bank only observes outcomes for approved applicants, and rejected applicants never generate outcome data. However, they don't explain the compounding consequence over time — that the training data narrows toward the model's existing preferences and bias progressively worsens with each retrain. This sits between partial-low and partial; I'm awarding 2.5 because the mechanism is clearly named but the 'progressively biased over time' piece (the heart of the question) is not addressed."
e772b4c9-0611-4cb7-b5c9-608025e90aee,"[partial] The student correctly describes the mechanism: high-dimensional space causes points to be far from each other and 'similar' loses meaning. However, they did not name the concept ('curse of dimensionality'). Per the rubric, mechanism described but name missing earns partial credit at 3 points."
f221572c-87d5-43dd-9866-0d29baa5abb8,"[minimal] The student names bias and variance but the definitions are shaky and confused — 'bias is the coefficient when the model changes' doesn't capture systematic/specification error, though 'variance is the prediction changes when the data changes' is roughly correct. No fixes are provided for either. This fits the 'minimal' tier: names both concepts but conflates/confuses them and gives no fixes."
00d37c45-838b-4179-a215-ff078c5caab9,"[partial-low] The definition is correct — the student identifies the unit of observation as what each row represents. However, the example only names possible single units (a person, a car) rather than showing how the same dataset could support two different units of observation. Per the rubric, a correct definition with a vague/single-unit example earns partial-low credit."
59594296-4b98-4ae2-9e80-4c41badee32d,"[minimal] The student gestures at popular vs. niche but doesn't articulate the feedback/closed-loop mechanism (where surfaced items get more interactions which reinforces their ranking), doesn't explain why standard metrics still look good, and offers no mitigation. This matches the 'minimal' tier: notes popularity dominance without the loop or metric-blindspot insight."
608aa77f-6280-4dc2-95d6-ec778db23d7d,"[none] The student selected 'exactly 0.5 because that's the standard convention,' which is precisely the trap the question warns against. There is no engagement with the cost asymmetry between false positives ($20) and false negatives ($800), and no reasoning connecting threshold to expected cost. Per the rubric, this answer earns 0 points."
30c7bf54-7c8b-4d8c-bce8-430ce1c8d493,"[partial-low] The student grasps the conceptual point that residuals contain 'special' information beyond what coefficients capture — this shows understanding that residuals carry signal, not just noise. However, the answer is vague ('special situations') and provides no concrete example like the soccer auction celebrity appeal or analogous case. Without an example and with only loose articulation of why the leftover is interesting, this lands at partial-low rather than partial."
331a95f9-653c-47bb-9366-5def95167951,"[minimal] The student gestures at the idea that training fit doesn't guarantee test performance, but their explanation conflates this with selection bias (the hospital example is about training data being filtered, not about multiple rules fitting the same data). They don't articulate the memorization-vs-generalization idea, nor do they explain what the test set actually reveals. Credit is minimal for recognizing that training fit alone isn't enough."
3aae167e-9637-4d0c-b2f0-b61da6ffdb2d,"[none] The student's answer does not engage with the cost-of-miss vs cost-of-false-alarm trade-off at all. There is no example given for either side, and the stated criterion ('when I have enough professional information') is not a coherent framing of when recall or precision matters. This fails to define the concepts or connect them to business contexts."
3ae7d91d-a8d7-4e1e-875d-3730df007382,"[partial] The student asks the right diagnostic question about case severity ('how's the serious level for these patients'), which gets at the case-mix issue. However, they don't explicitly articulate Simpson's paradox or the mechanism by which the aggregate could reverse, nor do they state the risk that reassigning critical cases could remove the best critical-case doctor. The sample-size question is secondary. This fits the 'partial' tier at 3 points."
6f2b249c-53f7-4e73-90e8-c3435f50caf7,"[partial] The student correctly identifies the selection mechanism: the bank only uses data from approved applicants and rejected applicants are not analyzed. However, the answer is vague about the compounding consequence over successive retrains — it says bias happens 'over time' but doesn't explain how the training data narrows or how bias progressively worsens. This sits between partial-low and partial; I'm awarding 2.5 since the mechanism is named clearly but the compounding feedback dynamic is only weakly implied."
a0f2452d-9942-40a5-a3b9-6b19ca11b95f,"[minimal] The student's first attempt at definitions is vague and somewhat conflates the two concepts ('accuracy between training and test' is not quite right for bias). They then drop in the correct buzzwords 'specification problem' and 'sample sensitivity' but provide no elaboration showing understanding, and critically they offer NO fixes for either bias or variance. Per the rubric, missing both fixes and having shaky definitions puts this between minimal (1) and partial-low (2)."
aaa27ed4-e28e-4bfa-851b-b2f815b15fd2,"[minimal] The student gestures at the right intuition (similarity weakens as dimensions grow) but doesn't explain the mechanism — that distances between points flatten and every observation becomes unique. They also fail to name the curse of dimensionality. It's slightly more than 'minimal' because they correctly identify that similarity itself degrades, not just that there are 'too many features,' but it lacks the depth for partial-low (2)."
b6257099-42ca-472c-821d-8ff6457e0316,"[minimal] The student vaguely notes that gender alone isn't enough and more variables are needed, but doesn't engage with the actual diagnosis question — they don't mention training attendance specifically, don't explain that the gender effect is absorbed/mediated by it, and don't address what this means for the 'gender bias' claim. This matches the 'minimal' tier of acknowledging that other factors matter without engaging with the diagnosis."
ea1561ee-8e6c-4adb-b8e3-04b1fceeadf4,"[none] The student's answer is just 'theI', which is not a substantive response. It contains no identification of the core insight, no mention of any of the three phenomena, and no articulation of the underlying operation. No credit can be awarded."
f58e36b9-c4e8-4084-9af5-5b206fb4401d,"[none] The student's answer 'Niche part and general recommendation' does not name any of the four conditions (latent taste, dense interactions, vast catalog, cheap mistakes) nor explain any contrast between Spotify and loan approval. The response is too vague to demonstrate understanding of the recommender system conditions covered in class."
fc5bf5f5-e91f-4584-865c-5917de0a0d8d,"[none] The student's answer misinterprets the question as being about selection bias / data coverage (engagement levels) rather than the unit-of-analysis mismatch between platform-wide accuracy and subgroup (engineering jobs) accuracy. They do not recognize that both claims can be true simultaneously due to uneven performance across job categories, nor do they request a subgroup performance breakdown. This matches the 'none' tier."
00a5e2a1-c7ff-40b5-a45a-2038df7d0714,"[full] Student correctly says 'lower than 0.5', identifies the cost asymmetry (FN significantly higher than FP), and ties it to action (more transaction inspections). The reasoning connects threshold to the business cost trade-off clearly in 2-3 sentences, meeting all full-credit criteria."
